               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.020499,            0.011084,                   0,             0.92673,             0.84783,             0.89472,             0.54642,            0.034877,           0.0045435,                   0,           0.0021625,           0.0021625,           0.0021625
                  97,            0.019683,            0.012274,                   0,             0.90826,             0.84783,             0.88691,             0.51474,            0.037755,           0.0045359,                   0,             0.00208,             0.00208,             0.00208
                  98,            0.021785,            0.011236,                   0,             0.86047,              0.8913,             0.88825,              0.5153,            0.036791,           0.0046134,                   0,           0.0019975,           0.0019975,           0.0019975
                  99,            0.022118,            0.012067,                   0,             0.86115,              0.8913,             0.89546,             0.52686,            0.037088,           0.0045993,                   0,            0.001915,            0.001915,            0.001915
                 100,            0.021939,            0.012695,                   0,              0.9267,             0.84783,             0.89972,              0.5322,            0.038467,           0.0045862,                   0,           0.0018325,           0.0018325,           0.0018325
                 101,            0.019424,            0.011288,                   0,             0.92858,             0.84788,             0.90885,             0.52349,            0.038049,           0.0046229,                   0,             0.00175,             0.00175,             0.00175
                 102,            0.022428,            0.011532,                   0,               0.966,             0.86957,             0.92203,             0.52794,            0.037929,           0.0045707,                   0,           0.0016675,           0.0016675,           0.0016675
                 103,            0.023694,            0.011706,                   0,             0.97541,             0.86957,              0.9274,             0.53929,            0.037259,           0.0046992,                   0,            0.001585,            0.001585,            0.001585
                 104,            0.020764,            0.010454,                   0,             0.96561,             0.84783,             0.92318,             0.55129,            0.037662,            0.004739,                   0,           0.0015025,           0.0015025,           0.0015025
                 105,            0.019031,            0.011572,                   0,             0.96557,             0.84783,             0.92521,             0.52971,            0.039215,           0.0048196,                   0,             0.00142,             0.00142,             0.00142
                 106,              0.0202,            0.010761,                   0,             0.92608,             0.84783,             0.90729,             0.52996,            0.038927,           0.0048852,                   0,           0.0013375,           0.0013375,           0.0013375
                 107,            0.022937,            0.010384,                   0,             0.97175,             0.84783,             0.91245,             0.53863,            0.039178,           0.0048726,                   0,            0.001255,            0.001255,            0.001255
                 108,            0.022572,            0.011737,                   0,             0.95312,             0.84783,             0.91506,             0.54223,            0.038633,           0.0048084,                   0,           0.0011725,           0.0011725,           0.0011725
                 109,            0.019288,            0.012377,                   0,              0.9472,             0.84783,             0.91771,             0.54445,            0.036796,           0.0046852,                   0,             0.00109,             0.00109,             0.00109
                 110,            0.020174,            0.011099,                   0,             0.97005,             0.86957,             0.93941,              0.5617,            0.036566,           0.0045626,                   0,           0.0010075,           0.0010075,           0.0010075
                 111,            0.018373,            0.011305,                   0,             0.97114,             0.86957,             0.93901,             0.55759,             0.03706,            0.004482,                   0,            0.000925,            0.000925,            0.000925
                 112,             0.02064,            0.012988,                   0,             0.97154,             0.86957,             0.93836,             0.56581,            0.037585,           0.0044167,                   0,           0.0008425,           0.0008425,           0.0008425
                 113,            0.017572,            0.010157,                   0,             0.97257,             0.86957,             0.94226,             0.56492,            0.037371,            0.004411,                   0,             0.00076,             0.00076,             0.00076
                 114,            0.019801,             0.01102,                   0,               0.973,             0.86957,             0.94357,             0.56637,            0.037223,             0.00442,                   0,           0.0006775,           0.0006775,           0.0006775
                 115,             0.01763,           0.0094654,                   0,              0.9733,             0.86957,             0.94542,             0.55388,            0.036608,           0.0044451,                   0,            0.000595,            0.000595,            0.000595
                 116,            0.019343,           0.0096425,                   0,             0.97313,             0.86957,              0.9481,             0.56128,            0.036736,           0.0044405,                   0,           0.0005125,           0.0005125,           0.0005125
                 117,            0.017778,            0.010434,                   0,             0.97323,             0.86957,             0.94763,              0.5604,             0.03778,           0.0044641,                   0,             0.00043,             0.00043,             0.00043
                 118,            0.018783,            0.010199,                   0,             0.97288,             0.86957,             0.94216,             0.55812,            0.037316,           0.0044706,                   0,           0.0003475,           0.0003475,           0.0003475
                 119,            0.019973,            0.010197,                   0,             0.97246,             0.86957,             0.94431,             0.55696,            0.036936,            0.004463,                   0,            0.000265,            0.000265,            0.000265
